Kecamatan,Kamar Tidur,Kamar Mandi,Luas Tanah (m²),Luas Bangunan (m²),Sertifikat,Daya Listrik (watt),Ruang Makan,Ruang Tamu,Kondisi Perabotan,Jumlah Lantai,Hadap,Terjangkau Internet,Lebar Jalan (m),Sumber Air,Hook,Kondisi Properti,Aksesibilitas,NJOP (Rp/m²),Tingkat Keamanan,Sewa per Bulan (Rp),Jenis Zona
Asemrowo,4,6,538,206,SHM,2600,0,4,Semi-Furnished,4,Timur,Tidak,10,PDAM,Tidak,Bagus,Dekat Jalan Raya,344882,6,56200000,Perumahan
Asemrowo,12,2,888,66,AJB,2600,2,4,Furnished,2,Selatan,Ya,20,Air Tanah,Ya,Bagus,Dekat Jalan Raya,293774,6,15500000,Perumahan
Asemrowo,10,4,768,220,SHM,4400,4,4,Semi-Furnished,6,Selatan,Tidak,10,Air Tanah,Tidak,Baru,Dekat Pusat Kota,333184,10,125800000,Komersial
Asemrowo,4,2,330,280,AJB,2600,0,0,Furnished,6,Barat,Tidak,4,Air Tanah,Ya,Butuh Renovasi,Dekat Pusat Kota,336286,8,61500000,Komersial
Asemrowo,12,6,620,708,SHM,4400,0,4,Semi-Furnished,6,Selatan,Tidak,18,Sumur,Ya,Baru,Dekat Jalan Raya,319692,10,385600000,Perumahan
Asemrowo,12,4,668,80,HGB,1800,4,4,Unfurnished,4,Timur,Ya,24,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,291812,2,17300000,Campuran
Asemrowo,4,4,552,350,HGB,2600,2,2,Furnished,6,Utara,Tidak,20,PDAM,Ya,Butuh Renovasi,Dekat Sekolah,356346,8,94000000,Komersial
Asemrowo,6,8,1150,1226,SHM,13200,2,0,Semi-Furnished,2,Timur,Ya,16,Air Tanah,Ya,Baru,Dekat Sekolah,349742,10,523300000,Campuran
Asemrowo,10,8,620,578,SHM,8800,2,2,Furnished,2,Utara,Tidak,14,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,319604,10,170300000,Perumahan
Asemrowo,8,8,130,60,AJB,2600,2,2,Unfurnished,4,Utara,Ya,6,Sumur,Ya,Baru,Dekat Sekolah,337706,2,16300000,Komersial
Asemrowo,12,8,1186,568,SHM,8800,2,4,Semi-Furnished,4,Barat,Ya,12,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,339132,10,215700000,Perumahan
Asemrowo,8,8,550,634,HGB,8800,4,2,Unfurnished,4,Utara,Tidak,20,PDAM,Ya,Baru,Dekat Pusat Kota,354726,8,319400000,Komersial
Asemrowo,10,4,162,144,HGB,2600,0,4,Furnished,4,Barat,Ya,22,PDAM,Ya,Butuh Renovasi,Dekat Jalan Raya,340684,4,33800000,Komersial
Asemrowo,12,4,1084,462,SHM,8800,0,4,Unfurnished,4,Selatan,Tidak,8,Sumur,Tidak,Butuh Renovasi,Dekat Pusat Kota,310108,10,121000000,Perumahan
Asemrowo,8,6,206,90,AJB,1800,0,2,Unfurnished,2,Timur,Tidak,14,Sumur,Tidak,Baru,Dekat Pusat Kota,337000,4,21700000,Campuran
Asemrowo,10,8,360,110,AJB,2600,0,4,Furnished,6,Selatan,Tidak,18,PDAM,Tidak,Baru,Dekat Sekolah,341904,10,49700000,Campuran
Asemrowo,6,6,274,66,SHM,2600,0,4,Semi-Furnished,2,Utara,Tidak,8,Sumur,Tidak,Baru,Dekat Sekolah,335756,6,15900000,Campuran
Asemrowo,6,2,324,130,AJB,2600,0,2,Furnished,2,Timur,Tidak,8,Sumur,Tidak,Bagus,Dekat Sekolah,334944,6,24800000,Perumahan
Benowo,8,2,832,824,HGB,11000,2,4,Furnished,2,Selatan,Tidak,18,Sumur,Ya,Baru,Dekat Jalan Raya,331450,10,256800000,Campuran
Benowo,10,8,1044,1242,SHM,13200,4,4,Semi-Furnished,6,Barat,Ya,16,PDAM,Tidak,Bagus,Dekat Sekolah,384082,10,852200000,Campuran
Benowo,8,6,664,370,HGB,2600,2,4,Unfurnished,4,Selatan,Tidak,14,Sumur,Ya,Butuh Renovasi,Dekat Sekolah,326002,10,65900000,Perumahan
Benowo,2,2,542,520,SHM,8800,4,4,Semi-Furnished,2,Utara,Tidak,4,Sumur,Ya,Baru,Dekat Jalan Raya,291508,10,107500000,Campuran
Benowo,2,2,304,230,HGB,4400,2,0,Furnished,2,Selatan,Tidak,22,Sumur,Ya,Bagus,Dekat Sekolah,286754,4,33400000,Komersial
Benowo,2,4,966,910,SHM,8800,4,4,Unfurnished,2,Barat,Ya,18,PDAM,Ya,Baru,Dekat Jalan Raya,321772,10,170300000,Perumahan
Benowo,2,6,398,208,SHM,4400,0,2,Semi-Furnished,4,Selatan,Ya,8,Sumur,Tidak,Bagus,Dekat Jalan Raya,294134,4,36700000,Campuran
Benowo,4,2,410,372,HGB,2600,0,0,Semi-Furnished,2,Utara,Tidak,20,Sumur,Tidak,Baru,Dekat Pusat Kota,304126,10,76800000,Campuran
Benowo,6,2,338,390,SHM,4400,2,4,Furnished,6,Selatan,Ya,18,Air Tanah,Tidak,Baru,Dekat Pusat Kota,347818,8,153300000,Komersial
Benowo,10,8,1178,552,SHM,8800,4,0,Semi-Furnished,2,Timur,Tidak,4,Air Tanah,Ya,Baru,Dekat Jalan Raya,351364,10,241500000,Komersial
Benowo,4,2,370,114,HGB,2600,2,4,Semi-Furnished,2,Timur,Ya,4,Sumur,Ya,Baru,Dekat Pusat Kota,301942,4,21100000,Campuran
Benowo,6,8,626,736,AJB,8800,2,4,Semi-Furnished,6,Selatan,Tidak,6,PDAM,Tidak,Bagus,Dekat Sekolah,350550,8,314000000,Komersial
Benowo,2,6,1160,298,SHM,4400,2,2,Semi-Furnished,6,Utara,Ya,22,PDAM,Ya,Bagus,Dekat Sekolah,311548,10,80700000,Perumahan
Benowo,12,8,366,434,AJB,4400,2,4,Unfurnished,4,Utara,Ya,24,Air Tanah,Ya,Butuh Renovasi,Dekat Sekolah,293346,8,118300000,Komersial
Benowo,6,6,530,556,AJB,8800,0,0,Semi-Furnished,2,Utara,Ya,12,Sumur,Tidak,Baru,Dekat Sekolah,337748,10,142600000,Campuran
Benowo,2,6,588,644,HGB,8800,0,4,Furnished,6,Selatan,Tidak,14,PDAM,Tidak,Baru,Dekat Sekolah,297172,10,253300000,Komersial
Benowo,12,4,964,958,HGB,8800,0,4,Furnished,2,Barat,Tidak,16,PDAM,Tidak,Baru,Dekat Pusat Kota,315398,10,526300000,Komersial
Benowo,8,2,648,350,HGB,2600,2,0,Unfurnished,2,Selatan,Tidak,4,Air Tanah,Tidak,Butuh Renovasi,Dekat Pusat Kota,343328,8,53300000,Campuran
Benowo,4,4,454,636,SHM,8800,0,4,Unfurnished,6,Barat,Tidak,24,Sumur,Tidak,Bagus,Dekat Sekolah,309498,10,169800000,Campuran
Benowo,8,6,572,426,HGB,7000,2,0,Furnished,2,Selatan,Tidak,22,Air Tanah,Tidak,Baru,Dekat Pusat Kota,329382,10,139000000,Perumahan
Benowo,8,8,824,188,HGB,1800,0,4,Furnished,6,Utara,Ya,12,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,293704,6,58700000,Perumahan
Benowo,4,6,410,90,AJB,1800,2,2,Furnished,4,Utara,Tidak,6,Sumur,Tidak,Butuh Renovasi,Dekat Pusat Kota,328398,2,19300000,Campuran
Benowo,6,6,202,68,SHM,2600,4,4,Unfurnished,4,Selatan,Tidak,18,Air Tanah,Ya,Butuh Renovasi,Dekat Jalan Raya,315204,6,10300000,Campuran
Benowo,10,2,414,538,AJB,8800,0,2,Unfurnished,6,Barat,Tidak,4,Air Tanah,Ya,Butuh Renovasi,Dekat Sekolah,342356,10,139600000,Komersial
Benowo,10,6,478,110,SHM,2600,0,2,Unfurnished,6,Utara,Tidak,6,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,315256,4,32100000,Campuran
Benowo,10,6,496,282,AJB,2600,0,2,Semi-Furnished,2,Barat,Ya,4,Sumur,Ya,Butuh Renovasi,Dekat Sekolah,322914,8,47200000,Campuran
Benowo,8,8,110,68,HGB,1800,2,0,Furnished,2,Barat,Ya,10,Air Tanah,Ya,Baru,Dekat Jalan Raya,302188,4,17900000,Perumahan
Benowo,10,8,476,664,AJB,4400,0,0,Unfurnished,4,Selatan,Ya,24,PDAM,Tidak,Baru,Dekat Jalan Raya,343878,10,223700000,Perumahan
Benowo,6,8,354,372,AJB,4400,0,0,Furnished,2,Utara,Tidak,6,PDAM,Ya,Butuh Renovasi,Dekat Jalan Raya,308280,10,74400000,Komersial
Benowo,2,2,340,438,HGB,8800,0,0,Unfurnished,6,Timur,Tidak,16,Sumur,Tidak,Bagus,Dekat Sekolah,324076,10,86100000,Komersial
Benowo,8,2,928,676,SHM,7000,0,0,Semi-Furnished,4,Barat,Ya,20,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,313500,10,155200000,Campuran
Benowo,4,6,218,348,SHM,2600,0,2,Unfurnished,4,Timur,Tidak,14,Sumur,Tidak,Baru,Dekat Jalan Raya,341296,10,90800000,Komersial
Benowo,4,2,562,140,SHM,2600,2,2,Furnished,2,Utara,Ya,20,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,311010,6,19700000,Campuran
Bubutan,8,2,1154,114,AJB,2600,4,0,Unfurnished,4,Utara,Ya,20,PDAM,Ya,Butuh Renovasi,Dekat Sekolah,488128,4,25400000,Campuran
Bubutan,6,8,268,168,HGB,2600,0,2,Furnished,2,Selatan,Ya,8,Air Tanah,Tidak,Bagus,Dekat Pusat Kota,460316,10,75900000,Campuran
Bubutan,12,4,978,462,HGB,4400,4,4,Semi-Furnished,4,Utara,Ya,18,PDAM,Tidak,Baru,Dekat Jalan Raya,552630,10,280300000,Perumahan
Bubutan,4,8,916,778,SHM,8800,0,0,Furnished,6,Selatan,Tidak,16,Sumur,Ya,Bagus,Dekat Sekolah,541672,10,484000000,Perumahan
Bubutan,4,6,956,884,SHM,8800,0,2,Furnished,6,Timur,Ya,10,Sumur,Tidak,Baru,Dekat Sekolah,521298,8,806600000,Komersial
Bubutan,2,6,110,146,SHM,2600,0,0,Furnished,2,Barat,Tidak,16,PDAM,Ya,Baru,Dekat Jalan Raya,489066,8,44100000,Campuran
Bubutan,10,6,464,498,SHM,7000,2,4,Furnished,2,Barat,Tidak,10,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,536080,8,266500000,Komersial
Bubutan,8,8,1132,298,AJB,4400,4,4,Furnished,6,Utara,Tidak,14,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,550604,8,183400000,Komersial
Bubutan,10,4,1028,1072,HGB,8800,0,0,Unfurnished,4,Timur,Ya,6,Sumur,Tidak,Bagus,Dekat Jalan Raya,537408,8,574400000,Perumahan
Bubutan,6,8,702,290,AJB,4400,4,4,Furnished,6,Barat,Tidak,12,PDAM,Tidak,Bagus,Dekat Sekolah,506170,10,191200000,Komersial
Bubutan,6,8,980,262,HGB,2600,4,0,Furnished,2,Utara,Ya,16,Sumur,Tidak,Baru,Dekat Sekolah,535486,8,155200000,Komersial
Bubutan,8,6,474,112,SHM,2600,2,4,Furnished,2,Utara,Tidak,18,Air Tanah,Tidak,Butuh Renovasi,Dekat Jalan Raya,500548,6,30100000,Perumahan
Bubutan,6,2,432,506,SHM,8800,4,0,Semi-Furnished,2,Selatan,Tidak,22,Sumur,Tidak,Baru,Dekat Jalan Raya,546982,10,223400000,Komersial
Bubutan,4,2,572,464,AJB,8800,2,4,Semi-Furnished,6,Barat,Ya,8,Sumur,Tidak,Bagus,Dekat Pusat Kota,471716,10,184000000,Campuran
Bubutan,6,4,644,710,HGB,7000,2,4,Furnished,4,Barat,Ya,20,PDAM,Tidak,Baru,Dekat Sekolah,494476,8,369100000,Perumahan
Bubutan,2,8,1150,364,AJB,4400,0,2,Semi-Furnished,2,Barat,Ya,18,Air Tanah,Tidak,Butuh Renovasi,Dekat Pusat Kota,458674,8,99600000,Campuran
Bubutan,4,2,604,94,HGB,1800,4,0,Semi-Furnished,4,Timur,Ya,20,Sumur,Tidak,Baru,Dekat Pusat Kota,490378,6,30300000,Perumahan
Bubutan,8,6,1034,92,SHM,1800,2,4,Semi-Furnished,4,Barat,Tidak,8,Air Tanah,Ya,Baru,Dekat Jalan Raya,458966,8,55000000,Campuran
Bubutan,6,6,758,370,SHM,4400,2,2,Unfurnished,2,Utara,Ya,8,Sumur,Ya,Baru,Dekat Pusat Kota,475672,10,166300000,Perumahan
Bubutan,4,2,732,444,AJB,4400,2,2,Unfurnished,2,Selatan,Tidak,8,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,535118,10,88300000,Perumahan
Bubutan,8,2,192,88,SHM,2600,4,2,Unfurnished,2,Barat,Tidak,14,PDAM,Ya,Baru,Dekat Jalan Raya,441696,4,27800000,Campuran
Bubutan,10,4,554,336,HGB,2600,2,0,Unfurnished,4,Selatan,Ya,16,Sumur,Ya,Baru,Dekat Pusat Kota,461684,8,174900000,Campuran
Bubutan,10,6,1146,1172,SHM,8800,4,2,Semi-Furnished,2,Selatan,Ya,24,Air Tanah,Tidak,Butuh Renovasi,Dekat Sekolah,556292,8,495400000,Perumahan
Bubutan,2,2,964,600,AJB,7000,0,0,Furnished,6,Selatan,Ya,18,Sumur,Ya,Baru,Dekat Jalan Raya,517166,8,301500000,Perumahan
Bubutan,8,2,1136,372,AJB,2600,4,0,Semi-Furnished,4,Utara,Ya,4,PDAM,Tidak,Baru,Dekat Pusat Kota,550834,10,193500000,Komersial
Bubutan,10,4,310,386,HGB,4400,0,4,Unfurnished,6,Utara,Ya,6,Air Tanah,Tidak,Baru,Dekat Sekolah,513312,10,241900000,Komersial
Bubutan,6,6,260,450,SHM,8800,2,0,Semi-Furnished,6,Selatan,Tidak,10,PDAM,Ya,Butuh Renovasi,Dekat Pusat Kota,519166,10,192500000,Komersial
Bubutan,12,2,464,194,HGB,1800,2,4,Semi-Furnished,6,Selatan,Tidak,14,PDAM,Ya,Bagus,Dekat Pusat Kota,456038,8,91100000,Perumahan
Bubutan,8,6,378,168,AJB,1800,2,4,Semi-Furnished,6,Barat,Tidak,22,PDAM,Ya,Bagus,Dekat Sekolah,539288,10,74000000,Campuran
Bubutan,4,4,502,520,SHM,8800,4,2,Unfurnished,6,Barat,Tidak,8,Sumur,Ya,Bagus,Dekat Jalan Raya,516572,10,201500000,Komersial
Bubutan,10,8,1092,630,AJB,7000,4,0,Semi-Furnished,4,Utara,Ya,6,PDAM,Tidak,Butuh Renovasi,Dekat Pusat Kota,541096,10,385400000,Komersial
Bubutan,6,8,448,90,HGB,1800,0,4,Unfurnished,6,Utara,Ya,12,PDAM,Tidak,Baru,Dekat Sekolah,442238,6,47000000,Komersial
Bubutan,2,8,438,326,SHM,4400,0,2,Furnished,4,Barat,Ya,14,Air Tanah,Tidak,Bagus,Dekat Pusat Kota,503576,10,161300000,Perumahan
Bulak,10,6,964,754,AJB,8800,2,0,Semi-Furnished,6,Timur,Tidak,8,Air Tanah,Ya,Baru,Dekat Jalan Raya,366300,10,429100000,Campuran
Bulak,10,4,1030,834,AJB,11000,4,0,Furnished,2,Barat,Ya,24,Air Tanah,Ya,Baru,Dekat Pusat Kota,416084,10,538000000,Komersial
Bulak,8,2,342,122,AJB,1800,2,2,Furnished,4,Timur,Ya,18,Air Tanah,Tidak,Baru,Dekat Pusat Kota,389404,10,42500000,Komersial
Bulak,10,8,210,360,SHM,4400,2,0,Semi-Furnished,2,Timur,Tidak,24,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,414438,8,102900000,Komersial
Bulak,6,6,550,504,HGB,7000,2,2,Furnished,6,Barat,Ya,10,Air Tanah,Tidak,Baru,Dekat Jalan Raya,365112,8,234900000,Perumahan
Bulak,10,6,108,212,HGB,2600,0,2,Furnished,2,Timur,Ya,20,Air Tanah,Ya,Butuh Renovasi,Dekat Pusat Kota,385042,8,52900000,Campuran
Bulak,6,8,222,110,SHM,2600,4,2,Furnished,6,Timur,Ya,8,PDAM,Ya,Baru,Dekat Jalan Raya,379230,10,48500000,Perumahan
Bulak,4,4,518,372,AJB,2600,2,4,Semi-Furnished,6,Timur,Tidak,20,Sumur,Ya,Bagus,Dekat Sekolah,351060,10,94100000,Perumahan
Bulak,4,8,600,460,HGB,4400,0,4,Unfurnished,4,Selatan,Ya,22,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,349372,10,110600000,Perumahan
Bulak,6,4,784,188,SHM,1800,4,2,Furnished,2,Timur,Tidak,16,Air Tanah,Tidak,Bagus,Dekat Jalan Raya,346272,8,55000000,Komersial
Bulak,6,6,648,312,AJB,4400,4,0,Furnished,2,Selatan,Ya,8,PDAM,Ya,Baru,Dekat Sekolah,394306,10,101800000,Campuran
Bulak,10,8,104,174,SHM,2600,2,4,Unfurnished,4,Selatan,Ya,20,Air Tanah,Tidak,Bagus,Dekat Jalan Raya,357634,10,62200000,Perumahan
Bulak,10,6,122,128,AJB,1800,4,4,Unfurnished,4,Barat,Ya,8,Air Tanah,Tidak,Butuh Renovasi,Dekat Pusat Kota,380108,6,27000000,Perumahan
Bulak,6,6,602,314,SHM,4400,2,4,Furnished,2,Selatan,Tidak,20,Air Tanah,Tidak,Bagus,Dekat Pusat Kota,407304,10,92500000,Perumahan
Bulak,2,4,962,598,AJB,8800,2,4,Unfurnished,4,Barat,Ya,14,Sumur,Ya,Butuh Renovasi,Dekat Sekolah,376414,10,104800000,Komersial
Bulak,2,2,906,304,HGB,4400,0,2,Furnished,6,Utara,Tidak,18,Air Tanah,Ya,Butuh Renovasi,Dekat Jalan Raya,406934,8,57300000,Campuran
Bulak,6,4,854,1006,HGB,13200,2,2,Semi-Furnished,6,Utara,Tidak,10,Air Tanah,Tidak,Bagus,Dekat Sekolah,428972,10,560500000,Komersial
Bulak,4,2,190,324,SHM,4400,0,4,Unfurnished,4,Barat,Tidak,6,PDAM,Tidak,Baru,Dekat Jalan Raya,346668,10,73200000,Komersial
Bulak,12,8,884,160,SHM,1800,4,4,Furnished,6,Selatan,Ya,8,Air Tanah,Ya,Baru,Dekat Jalan Raya,387246,10,121800000,Campuran
Bulak,10,2,80,244,AJB,4400,4,4,Unfurnished,2,Selatan,Ya,6,Air Tanah,Ya,Bagus,Dekat Sekolah,405338,6,46800000,Komersial
Bulak,6,2,650,620,SHM,8800,4,0,Furnished,4,Utara,Ya,6,Sumur,Tidak,Baru,Dekat Pusat Kota,388878,10,313300000,Komersial
Bulak,2,4,1084,600,SHM,4400,2,0,Semi-Furnished,4,Barat,Tidak,22,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,429178,10,135600000,Campuran
Bulak,10,4,322,168,SHM,1800,2,4,Unfurnished,4,Utara,Tidak,6,PDAM,Tidak,Butuh Renovasi,Dekat Sekolah,339628,6,36900000,Perumahan
Bulak,6,6,96,60,SHM,1800,0,2,Unfurnished,2,Selatan,Ya,24,Air Tanah,Tidak,Bagus,Dekat Pusat Kota,355730,4,13500000,Komersial
Bulak,4,8,196,394,AJB,2600,2,0,Semi-Furnished,2,Barat,Tidak,10,PDAM,Ya,Baru,Dekat Sekolah,349616,10,99100000,Komersial
Bulak,4,6,286,242,HGB,2600,4,0,Semi-Furnished,4,Barat,Ya,20,Sumur,Ya,Baru,Dekat Pusat Kota,401448,10,84700000,Perumahan
Bulak,4,2,596,398,SHM,4400,4,2,Semi-Furnished,2,Timur,Tidak,6,Air Tanah,Ya,Baru,Dekat Jalan Raya,400824,10,112600000,Campuran
Bulak,10,8,290,364,AJB,2600,4,4,Furnished,2,Barat,Tidak,12,Air Tanah,Ya,Butuh Renovasi,Dekat Pusat Kota,370390,10,127500000,Komersial
Bulak,6,2,196,358,SHM,2600,0,4,Unfurnished,2,Utara,Tidak,16,PDAM,Ya,Bagus,Dekat Sekolah,349834,8,72500000,Perumahan
Bulak,2,2,416,576,SHM,4400,0,4,Semi-Furnished,4,Timur,Ya,12,PDAM,Ya,Bagus,Dekat Pusat Kota,396694,10,138100000,Perumahan
Bulak,2,4,318,346,AJB,4400,0,4,Unfurnished,2,Timur,Ya,14,Sumur,Ya,Butuh Renovasi,Dekat Pusat Kota,392394,10,53000000,Komersial
Bulak,6,4,1040,912,HGB,8800,0,2,Furnished,2,Utara,Tidak,12,Sumur,Tidak,Baru,Dekat Sekolah,391708,8,391700000,Komersial
Bulak,8,4,888,684,SHM,4400,0,2,Unfurnished,6,Utara,Ya,14,Air Tanah,Tidak,Bagus,Dekat Pusat Kota,358206,8,397600000,Komersial
Dukuh Pakis,4,8,760,464,HGB,8800,0,2,Unfurnished,2,Selatan,Tidak,10,PDAM,Tidak,Bagus,Dekat Sekolah,473230,10,141900000,Perumahan
Dukuh Pakis,8,8,150,118,SHM,1800,2,2,Furnished,6,Barat,Tidak,8,PDAM,Ya,Baru,Dekat Sekolah,465288,10,67700000,Campuran
Dukuh Pakis,8,4,366,392,AJB,2600,4,0,Semi-Furnished,6,Timur,Tidak,8,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,484110,10,129500000,Perumahan
Dukuh Pakis,6,2,504,428,HGB,8800,4,0,Furnished,4,Utara,Tidak,16,Sumur,Tidak,Bagus,Dekat Sekolah,457402,8,168100000,Campuran
Dukuh Pakis,8,8,1174,234,AJB,4400,2,0,Semi-Furnished,4,Barat,Tidak,14,Sumur,Ya,Baru,Dekat Pusat Kota,496470,10,129400000,Campuran
Dukuh Pakis,10,6,140,94,HGB,2600,0,0,Unfurnished,2,Barat,Ya,4,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,431538,4,21100000,Komersial
Dukuh Pakis,10,4,760,534,AJB,7000,4,4,Unfurnished,4,Selatan,Tidak,14,PDAM,Ya,Butuh Renovasi,Dekat Pusat Kota,461304,8,203200000,Komersial
Dukuh Pakis,2,8,986,670,AJB,8800,2,2,Semi-Furnished,4,Barat,Ya,18,Air Tanah,Tidak,Bagus,Dekat Jalan Raya,460972,10,246600000,Campuran
Dukuh Pakis,6,4,152,278,AJB,4400,4,0,Unfurnished,2,Selatan,Tidak,6,Air Tanah,Tidak,Bagus,Dekat Jalan Raya,440886,10,65400000,Campuran
Dukuh Pakis,4,6,872,380,AJB,2600,0,0,Furnished,2,Timur,Ya,10,Air Tanah,Ya,Baru,Dekat Pusat Kota,430960,10,162100000,Komersial
Dukuh Pakis,12,8,106,166,HGB,1800,2,0,Unfurnished,4,Selatan,Ya,12,PDAM,Tidak,Bagus,Dekat Pusat Kota,471312,10,86300000,Perumahan
Dukuh Pakis,4,2,568,90,HGB,1800,0,2,Semi-Furnished,2,Selatan,Tidak,12,PDAM,Tidak,Baru,Dekat Jalan Raya,479532,2,19700000,Campuran
Dukuh Pakis,2,2,270,282,HGB,2600,0,0,Semi-Furnished,4,Selatan,Ya,6,Sumur,Ya,Baru,Dekat Jalan Raya,447280,10,72400000,Komersial
Dukuh Pakis,2,8,592,670,SHM,7000,2,0,Unfurnished,2,Selatan,Ya,18,PDAM,Tidak,Butuh Renovasi,Dekat Jalan Raya,472282,10,188700000,Komersial
Dukuh Pakis,2,6,378,492,AJB,4400,0,0,Semi-Furnished,2,Selatan,Tidak,6,PDAM,Tidak,Bagus,Dekat Sekolah,504800,8,149000000,Komersial
Dukuh Pakis,6,4,262,386,AJB,2600,4,4,Unfurnished,4,Barat,Ya,16,PDAM,Ya,Baru,Dekat Jalan Raya,431388,8,112300000,Campuran
Dukuh Pakis,12,6,504,630,AJB,8800,4,0,Unfurnished,6,Utara,Tidak,24,PDAM,Tidak,Bagus,Dekat Jalan Raya,511716,10,406200000,Campuran
Dukuh Pakis,2,6,336,176,HGB,1800,2,2,Unfurnished,4,Utara,Tidak,14,PDAM,Tidak,Bagus,Dekat Pusat Kota,459306,10,57100000,Komersial
Dukuh Pakis,8,8,266,278,AJB,4400,0,4,Furnished,4,Utara,Ya,4,Sumur,Tidak,Butuh Renovasi,Dekat Sekolah,435186,8,110300000,Campuran
Dukuh Pakis,12,2,270,196,HGB,2600,2,0,Furnished,4,Timur,Ya,20,Air Tanah,Tidak,Butuh Renovasi,Dekat Pusat Kota,432528,8,76600000,Komersial
Dukuh Pakis,12,4,516,704,HGB,8800,4,2,Unfurnished,4,Selatan,Tidak,24,Air Tanah,Ya,Baru,Dekat Sekolah,497956,8,377600000,Perumahan
Dukuh Pakis,12,4,1036,742,AJB,7000,2,0,Unfurnished,4,Selatan,Ya,10,Sumur,Tidak,Butuh Renovasi,Dekat Jalan Raya,490956,10,337700000,Komersial
Dukuh Pakis,4,6,446,206,AJB,4400,2,0,Unfurnished,2,Selatan,Tidak,24,PDAM,Tidak,Baru,Dekat Jalan Raya,482298,8,47700000,Perumahan
