Alamat,Kecamatan,Njop (Rp/M²),Sertifikat,Sewa Per Bulan (Rp),Luas Tanah (M²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Kepadatan_Penduduk
"Jl. Bulak No. 3, Surabaya",Bulak,3102798.6,SHM,53863977.5,7442.38,Perumahan,Buruk,rendah,43764
"Jl. Simokerto No. 12, Surabaya",Simokerto,4839693.72,SHM,82985624.66,6783.36,Perumahan,Baik,rendah,86897
"Jl. Semampir No. 11, Surabaya",Semampir,3453151.78,Lainnya,167724710.76,18504.16,Perumahan,Baik,tinggi,172669
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,Lainnya,30318750.0,1078.0,Industri,Baik,rendah,101259
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,HGB,45731250.0,1626.0,Industri,Buruk,rendah,101259
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,HGB,39071520.0,7572.0,Perumahan,Buruk,rendah,63778
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,Lainnya,124239250.0,16280.0,Industri,Buruk,tinggi,101259
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,Lainnya,295425000.0,10504.0,Komersial,Baik,tinggi,144650
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,10181250.0,362.0,Komersial,Baik,tinggi,123961
"Jl. Simokerto No. 12, Surabaya",Simokerto,5286066.4,Lainnya,96537723.06,7379.7,Perumahan,Buruk,tinggi,86897
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,Lainnya,743040.0,144.0,Industri,Buruk,tinggi,63778
"Jl. Pakal No. 10, Surabaya",Pakal,2261822.06,Lainnya,114558597.62,19609.04,Industri,Buruk,rendah,59971
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,2548800.0,360.0,Komersial,Baik,rendah,71605
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,SHM,6192000.0,1200.0,Komersial,Baik,rendah,59256
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3479636.5,HGB,90321059.36,10928.46,Industri,Baik,tinggi,75315
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,HGB,3724000.0,400.0,Perumahan,Baik,tinggi,62482
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2849618.52,HGB,25691700.92,3472.06,Perumahan,Baik,tinggi,86545
"Jl. Jambangan No. 6, Surabaya",Jambangan,4816202.54,HGB,92555030.24,7667.26,Industri,Baik,tinggi,50470
"Jl. Gayungan No. 5, Surabaya",Gayungan,5992239.24,HGB,159888961.94,10376.3,Komersial,Buruk,tinggi,41289
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,HGB,27877500.0,900.0,Komersial,Baik,rendah,52924
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,Lainnya,9310000.0,1000.0,Perumahan,Baik,rendah,181325
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,Lainnya,13003200.0,2520.0,Industri,Baik,tinggi,69938
"Jl. Tandes No. 14, Surabaya",Tandes,4026041.6,SHM,86750552.68,8658.36,Komersial,Buruk,rendah,87511
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,HGB,3828720.0,742.0,Perumahan,Baik,tinggi,59256
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3628522.18,SHM,160351394.66,18965.6,Industri,Buruk,tinggi,75315
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,SHM,43075680.0,8348.0,Komersial,Baik,rendah,59256
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,Lainnya,124239250.0,100000.0,Komersial,Baik,tinggi,52924
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,SHM,4177200.0,590.0,Perumahan,Baik,tinggi,188693
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3650239.9,HGB,85452339.46,10654.98,Industri,Baik,tinggi,75315
"Jl. Jambangan No. 6, Surabaya",Jambangan,5161527.02,HGB,172332066.16,13767.32,Perumahan,Baik,rendah,50470
"Jl. Bulak No. 3, Surabaya",Bulak,2786077.58,SHM,89607298.08,12213.84,Perumahan,Buruk,tinggi,43764
"Jl. Krembangan No. 8, Surabaya",Krembangan,6395165.38,SHM,205184016.9,11224.16,Industri,Buruk,rendah,109027
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,Lainnya,124239250.0,120000.0,Perumahan,Baik,rendah,62482
"Jl. Krembangan No. 8, Surabaya",Krembangan,7103081.14,SHM,140629894.34,7355.42,Industri,Baik,tinggi,109027
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,HGB,8606880.0,1668.0,Industri,Buruk,rendah,69938
"Jl. Tandes No. 14, Surabaya",Tandes,4224603.34,HGB,204351517.02,17283.16,Perumahan,Buruk,tinggi,87511
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,Lainnya,52038000.0,1680.0,Komersial,Baik,rendah,52924
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,SHM,8256000.0,1600.0,Perumahan,Buruk,tinggi,59256
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,7790488.4,Lainnya,278283339.44,13843.04,Perumahan,Baik,rendah,110557
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6094130.5,HGB,263802771.68,18822.26,Industri,Buruk,tinggi,61187
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,4886218.72,Lainnya,135885696.98,11252.34,Industri,Buruk,rendah,45547
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5548268.36,SHM,104607686.42,6807.6,Komersial,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,2426833.76,HGB,110499074.42,20281.32,Industri,Baik,tinggi,59971
"Jl. Tandes No. 14, Surabaya",Tandes,3956718.76,Lainnya,159980163.52,14398.98,Komersial,Baik,tinggi,87511
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,Lainnya,4644480.0,656.0,Perumahan,Baik,tinggi,188693
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5956405.38,SHM,212796265.92,15194.88,Perumahan,Baik,rendah,75315
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,HGB,124239250.0,13356.0,Komersial,Baik,rendah,144650
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,8142480.0,1578.0,Industri,Buruk,tinggi,69938
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,8273525.96,Lainnya,69117429.48,2674.6,Perumahan,Buruk,tinggi,110557
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,151931250.0,5402.0,Komersial,Baik,tinggi,123961
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,12390000.0,HGB,229215000.0,7400.0,Komersial,Baik,tinggi,52924
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,124239250.0,16846.0,Komersial,Buruk,tinggi,123961
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,4728347.92,HGB,1507195.92,107.48,Industri,Buruk,tinggi,45547
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,9530146.26,SHM,108818351.1,13171.28,Komersial,Buruk,tinggi,56707
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,13610000.0,Lainnya,125212000.0,3680.0,Komersial,Buruk,tinggi,92014
"Jl. Bubutan No. 2, Surabaya",Bubutan,7557363.36,Lainnya,250131530.64,13245.76,Industri,Baik,rendah,90646
"Jl. Semampir No. 11, Surabaya",Semampir,3532248.88,Lainnya,155516938.8,17485.68,Perumahan,Baik,rendah,172669
"Jl. Gayungan No. 5, Surabaya",Gayungan,6350938.62,HGB,142760479.22,9986.5,Komersial,Buruk,tinggi,41289
"Jl. Krembangan No. 8, Surabaya",Krembangan,6135695.44,HGB,68979085.1,4049.7,Industri,Baik,rendah,109027
"Jl. Simokerto No. 12, Surabaya",Simokerto,4876294.36,HGB,221545633.56,20024.3,Komersial,Buruk,tinggi,86897
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,HGB,65872320.0,9304.0,Komersial,Buruk,tinggi,71605
"Jl. Gayungan No. 5, Surabaya",Gayungan,6564731.7,Lainnya,116037415.94,20697.68,Komersial,Baik,tinggi,41289
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5659780.86,SHM,243260035.52,14172.28,Komersial,Buruk,rendah,75315
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,SHM,10278240.0,874.0,Perumahan,Buruk,rendah,123757
"Jl. Bubutan No. 2, Surabaya",Bubutan,7089335.92,SHM,267734181.58,12775.1,Komersial,Buruk,tinggi,90646
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,SHM,37152000.0,7200.0,Industri,Buruk,tinggi,69938
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,7715558.42,SHM,126252084.34,18391.26,Perumahan,Buruk,tinggi,110557
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,4790255.64,Lainnya,22979250.6,1522.36,Industri,Baik,tinggi,45547
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,6131688.52,Lainnya,191038203.12,11496.5,Industri,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,2407137.58,Lainnya,50004110.3,8972.38,Industri,Buruk,tinggi,59971
"Jl. Tandes No. 14, Surabaya",Tandes,3965030.52,HGB,98867812.3,9348.36,Industri,Baik,rendah,87511
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2753687.5,HGB,81662452.78,11630.88,Perumahan,Baik,rendah,86545
"Jl. Bulak No. 3, Surabaya",Bulak,2873384.52,HGB,57041987.38,6981.9,Industri,Baik,tinggi,43764
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,56640000.0,8000.0,Perumahan,Buruk,rendah,71605
"Jl. Jambangan No. 6, Surabaya",Jambangan,5246248.82,Lainnya,91978104.9,8039.12,Industri,Baik,tinggi,50470
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,SHM,9738260.0,1046.0,Industri,Buruk,rendah,62482
"Jl. Semampir No. 11, Surabaya",Semampir,3616422.3,Lainnya,159930694.14,18562.08,Perumahan,Baik,rendah,172669
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,6750000.0,240.0,Komersial,Buruk,tinggi,123961
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,HGB,14160000.0,2000.0,Perumahan,Baik,rendah,188693
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5237685.92,Lainnya,213922422.72,14735.44,Perumahan,Buruk,rendah,75315
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5782528.22,Lainnya,111434133.5,8507.62,Industri,Baik,rendah,75315
"Jl. Tandes No. 14, Surabaya",Tandes,3493102.2,SHM,93686885.92,9344.3,Komersial,Buruk,rendah,87511
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,Lainnya,9713760.0,826.0,Perumahan,Buruk,tinggi,214966
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,SHM,618750.0,22.0,Industri,Buruk,tinggi,101259
"Jl. Krembangan No. 8, Surabaya",Krembangan,6481630.74,SHM,78774476.38,4645.8,Industri,Buruk,rendah,109027
"Jl. Jambangan No. 6, Surabaya",Jambangan,4862425.78,HGB,183842595.42,16023.34,Industri,Buruk,rendah,50470
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,Lainnya,1557600.0,220.0,Perumahan,Baik,rendah,188693
"Jl. Bubutan No. 2, Surabaya",Bubutan,8078658.68,SHM,258382020.38,12135.54,Komersial,Buruk,tinggi,90646
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,Lainnya,12074400.0,2340.0,Perumahan,Baik,tinggi,63778
"Jl. Bulak No. 3, Surabaya",Bulak,3064188.06,SHM,101581313.02,13519.8,Komersial,Buruk,rendah,43764
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,9646581.36,Lainnya,212006843.22,9146.3,Industri,Buruk,tinggi,56707
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,5816684.9,Lainnya,148504329.72,10512.36,Industri,Baik,rendah,75315
"Jl. Jambangan No. 6, Surabaya",Jambangan,5112669.18,HGB,35839296.08,3145.64,Industri,Baik,rendah,50470
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,Lainnya,3870000.0,750.0,Industri,Buruk,tinggi,59256
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,9366627.64,Lainnya,117657789.84,14773.76,Industri,Baik,tinggi,56707
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,279300000.0,30000.0,Perumahan,Baik,rendah,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,Lainnya,62186880.0,5288.0,Perumahan,Buruk,tinggi,123757
"Jl. Bulak No. 3, Surabaya",Bulak,3066016.2,HGB,122005121.84,15985.92,Industri,Baik,rendah,43764
"Jl. Pakal No. 10, Surabaya",Pakal,2103824.94,SHM,117258327.52,17015.68,Industri,Buruk,tinggi,59971
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3630222.5,SHM,71846516.74,8264.86,Industri,Buruk,rendah,75315
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3853665.86,SHM,152516639.78,16012.88,Industri,Baik,tinggi,75315
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,6003853.54,Lainnya,275349856.34,16702.7,Industri,Baik,rendah,75315
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,2064000.0,HGB,10350960.0,2006.0,Perumahan,Buruk,tinggi,59256
"Jl. Pakal No. 10, Surabaya",Pakal,2519336.9,HGB,104387269.06,15572.24,Industri,Baik,tinggi,59971
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,2832000.0,Lainnya,11328000.0,1600.0,Perumahan,Buruk,tinggi,188693
"Jl. Semampir No. 11, Surabaya",Semampir,3705458.42,SHM,69758574.5,7664.84,Perumahan,Baik,rendah,172669
"Jl. Tandes No. 14, Surabaya",Tandes,3921036.5,SHM,5687643.44,553.66,Komersial,Buruk,rendah,87511
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3902106.28,Lainnya,69522855.54,8068.54,Industri,Baik,tinggi,75315
"Jl. Simokerto No. 12, Surabaya",Simokerto,5284332.4,HGB,137211482.22,11303.42,Komersial,Buruk,tinggi,86897
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,2064000.0,Lainnya,8359200.0,1620.0,Industri,Baik,rendah,69938
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,HGB,123750000.0,4400.0,Komersial,Baik,tinggi,144650
"Jl. Pakal No. 10, Surabaya",Pakal,2362093.8,Lainnya,26657685.26,4117.58,Industri,Baik,tinggi,59971
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5742363.54,SHM,171324119.42,12622.82,Industri,Baik,rendah,75315
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,128049740.0,13754.0,Perumahan,Baik,tinggi,181325
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,15082200.0,1620.0,Perumahan,Buruk,tinggi,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,SHM,35280000.0,3000.0,Perumahan,Baik,rendah,123757
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,3724000.0,SHM,24206000.0,2600.0,Perumahan,Baik,rendah,181325
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,4704000.0,HGB,40078080.0,3408.0,Perumahan,Baik,rendah,214966
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3521827.9,Lainnya,89784754.98,9561.2,Industri,Buruk,rendah,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,SHM,6750000.0,240.0,Komersial,Baik,tinggi,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,Lainnya,141120.0,12.0,Perumahan,Baik,rendah,123757
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,5023636.92,Lainnya,22399696.0,1705.18,Industri,Baik,tinggi,45547
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6199870.12,HGB,41703484.94,2592.56,Perumahan,Baik,tinggi,61187
"Jl. Pakal No. 10, Surabaya",Pakal,2537580.24,SHM,51368358.32,8748.38,Industri,Buruk,rendah,59971
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5359940.62,Lainnya,220361348.62,15831.36,Perumahan,Baik,tinggi,75315
"Jl. Bubutan No. 2, Surabaya",Bubutan,8830077.18,Lainnya,261659601.9,14009.98,Industri,Baik,rendah,90646
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,6498872.02,Lainnya,122051926.0,19723.72,Komersial,Baik,rendah,61187
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,13610000.0,SHM,136236100.0,4004.0,Komersial,Buruk,tinggi,92014
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,3036487.92,SHM,19057760.66,2502.4,Perumahan,Buruk,rendah,86545
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,Lainnya,27612000.0,3900.0,Perumahan,Buruk,rendah,71605
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,4704000.0,HGB,17404800.0,1480.0,Perumahan,Baik,tinggi,123757
"Jl. Tandes No. 14, Surabaya",Tandes,3860110.28,HGB,5281573.24,539.54,Komersial,Baik,tinggi,87511
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,SHM,8606880.0,1668.0,Komersial,Buruk,rendah,63778
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,10347445.56,Lainnya,96748339.92,4083.18,Komersial,Buruk,tinggi,56707
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,7818455.5,Lainnya,214280342.68,11211.56,Perumahan,Baik,rendah,110557
"Jl. Gayungan No. 5, Surabaya",Gayungan,6626850.46,HGB,142339933.32,9832.84,Komersial,Buruk,tinggi,41289
"Jl. Gayungan No. 5, Surabaya",Gayungan,6268328.42,SHM,191390845.44,13060.36,Komersial,Baik,rendah,41289
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,11250000.0,Lainnya,7481250.0,266.0,Komersial,Buruk,tinggi,123961
"Jl. Jambangan No. 6, Surabaya",Jambangan,4937301.8,SHM,191588392.0,16397.62,Komersial,Buruk,rendah,50470
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,8497136.02,HGB,130194788.42,19332.18,Perumahan,Buruk,rendah,110557
"Jl. Jambangan No. 6, Surabaya",Jambangan,5155868.58,HGB,119524366.24,9023.1,Komersial,Buruk,rendah,50470
"Jl. Krembangan No. 8, Surabaya",Krembangan,7505959.28,SHM,297166285.04,16789.82,Industri,Baik,rendah,109027
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,11250000.0,HGB,78356250.0,2786.0,Industri,Baik,rendah,101259
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,5925258.92,HGB,276786952.74,20437.96,Perumahan,Buruk,rendah,75315
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,3794300.0,Lainnya,50026918.56,5314.96,Industri,Buruk,rendah,75315
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2921688.44,HGB,47889530.06,7474.64,Komersial,Buruk,tinggi,86545
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,HGB,4644000.0,900.0,Industri,Buruk,rendah,63778
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,11250000.0,SHM,28518750.0,1014.0,Komersial,Baik,rendah,144650
"Jl. Gayungan No. 5, Surabaya",Gayungan,6406652.08,HGB,162209116.68,10030.86,Komersial,Buruk,tinggi,41289
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,3724000.0,HGB,2793000.0,300.0,Perumahan,Baik,tinggi,62482
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,3055736.94,SHM,4433021.26,652.7,Perumahan,Baik,tinggi,86545
"Jl. Krembangan No. 8, Surabaya",Krembangan,7166300.82,SHM,145928100.76,7256.88,Industri,Baik,tinggi,109027
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,2832000.0,HGB,17204400.0,2430.0,Industri,Buruk,rendah,71605
"Jl. Bulak No. 3, Surabaya",Bulak,3099038.86,HGB,57131159.8,7793.4,Industri,Baik,tinggi,43764
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,8083926.24,HGB,125826455.62,18588.84,Perumahan,Buruk,rendah,110557
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,2744527.3,SHM,67561977.1,10466.02,Perumahan,Buruk,rendah,86545
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,2064000.0,SHM,24396480.0,4728.0,Perumahan,Baik,rendah,63778
