Alamat,Kecamatan,Njop (Rp/M²),Sertifikat,Sewa Per Bulan (Rp),Luas Tanah (M²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Kepadatan_Penduduk
"Jl. Bubutan No. 2, Surabaya",Bubutan,4148784.08,Lainnya,155998965.67,6629.89,Perumahan,Buruk,rendah,90646
"Jl. Bubutan No. 2, Surabaya",Bubutan,4041887.12,Lainnya,56029545.98,2718.1,Komersial,Baik,tinggi,90646
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,SHM,62119625.0,6000.0,Komersial,Buruk,rendah,52924
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2855465.4,SHM,103495279.35,6625.16,Perumahan,Buruk,tinggi,75315
"Jl. Bulak No. 3, Surabaya",Bulak,1551399.3,SHM,26931988.75,3721.19,Perumahan,Buruk,rendah,43764
"Jl. Simokerto No. 12, Surabaya",Simokerto,2419846.86,SHM,41492812.33,3391.68,Perumahan,Baik,rendah,86897
"Jl. Semampir No. 11, Surabaya",Semampir,1726575.89,Lainnya,83862355.38,9252.08,Perumahan,Baik,tinggi,172669
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,Lainnya,15159375.0,539.0,Industri,Baik,rendah,101259
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,HGB,22865625.0,813.0,Industri,Buruk,rendah,101259
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,HGB,19535760.0,3786.0,Perumahan,Buruk,rendah,63778
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,Lainnya,62119625.0,8140.0,Industri,Buruk,tinggi,101259
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,Lainnya,147712500.0,5252.0,Komersial,Baik,tinggi,144650
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,5090625.0,181.0,Komersial,Baik,tinggi,123961
"Jl. Simokerto No. 12, Surabaya",Simokerto,2643033.2,Lainnya,48268861.53,3689.85,Perumahan,Buruk,tinggi,86897
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,Lainnya,371520.0,72.0,Industri,Buruk,tinggi,63778
"Jl. Pakal No. 10, Surabaya",Pakal,1130911.03,Lainnya,57279298.81,9804.52,Industri,Buruk,rendah,59971
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,1274400.0,180.0,Komersial,Baik,rendah,71605
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,SHM,3096000.0,600.0,Komersial,Baik,rendah,59256
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1739818.25,HGB,45160529.68,5464.23,Industri,Baik,tinggi,75315
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,HGB,1862000.0,200.0,Perumahan,Baik,tinggi,62482
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1424809.26,HGB,12845850.46,1736.03,Perumahan,Baik,tinggi,86545
"Jl. Jambangan No. 6, Surabaya",Jambangan,2408101.27,HGB,46277515.12,3833.63,Industri,Baik,tinggi,50470
"Jl. Gayungan No. 5, Surabaya",Gayungan,2996119.62,HGB,79944480.97,5188.15,Komersial,Buruk,tinggi,41289
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,HGB,13938750.0,450.0,Komersial,Baik,rendah,52924
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,Lainnya,4655000.0,500.0,Perumahan,Baik,rendah,181325
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,Lainnya,6501600.0,1260.0,Industri,Baik,tinggi,69938
"Jl. Tandes No. 14, Surabaya",Tandes,2013020.8,SHM,43375276.34,4329.18,Komersial,Buruk,rendah,87511
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,HGB,1914360.0,371.0,Perumahan,Baik,tinggi,59256
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1814261.09,SHM,80175697.33,9482.8,Industri,Buruk,tinggi,75315
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,SHM,21537840.0,4174.0,Komersial,Baik,rendah,59256
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,Lainnya,62119625.0,50000.0,Komersial,Baik,tinggi,52924
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,SHM,2088600.0,295.0,Perumahan,Baik,tinggi,188693
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1825119.95,HGB,42726169.73,5327.49,Industri,Baik,tinggi,75315
"Jl. Jambangan No. 6, Surabaya",Jambangan,2580763.51,HGB,86166033.08,6883.66,Perumahan,Baik,rendah,50470
"Jl. Bulak No. 3, Surabaya",Bulak,1393038.79,SHM,44803649.04,6106.92,Perumahan,Buruk,tinggi,43764
"Jl. Krembangan No. 8, Surabaya",Krembangan,3197582.69,SHM,102592008.45,5612.08,Industri,Buruk,rendah,109027
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,Lainnya,62119625.0,60000.0,Perumahan,Baik,rendah,62482
"Jl. Krembangan No. 8, Surabaya",Krembangan,3551540.57,SHM,70314947.17,3677.71,Industri,Baik,tinggi,109027
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,HGB,4303440.0,834.0,Industri,Buruk,rendah,69938
"Jl. Tandes No. 14, Surabaya",Tandes,2112301.67,HGB,102175758.51,8641.58,Perumahan,Buruk,tinggi,87511
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,Lainnya,26019000.0,840.0,Komersial,Baik,rendah,52924
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,SHM,4128000.0,800.0,Perumahan,Buruk,tinggi,59256
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,3895244.2,Lainnya,139141669.72,6921.52,Perumahan,Baik,rendah,110557
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3047065.25,HGB,131901385.84,9411.13,Industri,Buruk,tinggi,61187
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2443109.36,Lainnya,67942848.49,5626.17,Industri,Buruk,rendah,45547
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2774134.18,SHM,52303843.21,3403.8,Komersial,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,1213416.88,HGB,55249537.21,10140.66,Industri,Baik,tinggi,59971
"Jl. Tandes No. 14, Surabaya",Tandes,1978359.38,Lainnya,79990081.76,7199.49,Komersial,Baik,tinggi,87511
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,Lainnya,2322240.0,328.0,Perumahan,Baik,tinggi,188693
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2978202.69,SHM,106398132.96,7597.44,Perumahan,Baik,rendah,75315
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,HGB,62119625.0,6678.0,Komersial,Baik,rendah,144650
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,4071240.0,789.0,Industri,Buruk,tinggi,69938
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,4136762.98,Lainnya,34558714.74,1337.3,Perumahan,Buruk,tinggi,110557
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,75965625.0,2701.0,Komersial,Baik,tinggi,123961
"Jl. Tunjungan No. 1, Genteng, Surabaya",Genteng,6195000.0,HGB,114607500.0,3700.0,Komersial,Baik,tinggi,52924
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,62119625.0,8423.0,Komersial,Buruk,tinggi,123961
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2364173.96,HGB,753597.96,53.74,Industri,Buruk,tinggi,45547
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,4765073.13,SHM,54409175.55,6585.64,Komersial,Buruk,tinggi,56707
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,6805000.0,Lainnya,62606000.0,1840.0,Komersial,Buruk,tinggi,92014
"Jl. Bubutan No. 2, Surabaya",Bubutan,3778681.68,Lainnya,125065765.32,6622.88,Industri,Baik,rendah,90646
"Jl. Semampir No. 11, Surabaya",Semampir,1766124.44,Lainnya,77758469.4,8742.84,Perumahan,Baik,rendah,172669
"Jl. Gayungan No. 5, Surabaya",Gayungan,3175469.31,HGB,71380239.61,4993.25,Komersial,Buruk,tinggi,41289
"Jl. Krembangan No. 8, Surabaya",Krembangan,3067847.72,HGB,34489542.55,2024.85,Industri,Baik,rendah,109027
"Jl. Simokerto No. 12, Surabaya",Simokerto,2438147.18,HGB,110772816.78,10012.15,Komersial,Buruk,tinggi,86897
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,HGB,32936160.0,4652.0,Komersial,Buruk,tinggi,71605
"Jl. Gayungan No. 5, Surabaya",Gayungan,3282365.85,Lainnya,58018707.97,10348.84,Komersial,Baik,tinggi,41289
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2829890.43,SHM,121630017.76,7086.14,Komersial,Buruk,rendah,75315
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,SHM,5139120.0,437.0,Perumahan,Buruk,rendah,123757
"Jl. Bubutan No. 2, Surabaya",Bubutan,3544667.96,SHM,133867090.79,6387.55,Komersial,Buruk,tinggi,90646
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,SHM,18576000.0,3600.0,Industri,Buruk,tinggi,69938
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,3857779.21,SHM,63126042.17,9195.63,Perumahan,Buruk,tinggi,110557
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2395127.82,Lainnya,11489625.3,761.18,Industri,Baik,tinggi,45547
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,3065844.26,Lainnya,95519101.56,5748.25,Industri,Baik,rendah,75315
"Jl. Pakal No. 10, Surabaya",Pakal,1203568.79,Lainnya,25002055.15,4486.19,Industri,Buruk,tinggi,59971
"Jl. Tandes No. 14, Surabaya",Tandes,1982515.26,HGB,49433906.15,4674.18,Industri,Baik,rendah,87511
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1376843.75,HGB,40831226.39,5815.44,Perumahan,Baik,rendah,86545
"Jl. Bulak No. 3, Surabaya",Bulak,1436692.26,HGB,28520993.69,3490.95,Industri,Baik,tinggi,43764
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,28320000.0,4000.0,Perumahan,Buruk,rendah,71605
"Jl. Jambangan No. 6, Surabaya",Jambangan,2623124.41,Lainnya,45989052.45,4019.56,Industri,Baik,tinggi,50470
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,SHM,4869130.0,523.0,Industri,Buruk,rendah,62482
"Jl. Semampir No. 11, Surabaya",Semampir,1808211.15,Lainnya,79965347.07,9281.04,Perumahan,Baik,rendah,172669
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,3375000.0,120.0,Komersial,Buruk,tinggi,123961
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,HGB,7080000.0,1000.0,Perumahan,Baik,rendah,188693
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2618842.96,Lainnya,106961211.36,7367.72,Perumahan,Buruk,rendah,75315
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2891264.11,Lainnya,55717066.75,4253.81,Industri,Baik,rendah,75315
"Jl. Tandes No. 14, Surabaya",Tandes,1746551.1,SHM,46843442.96,4672.15,Komersial,Buruk,rendah,87511
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,Lainnya,4856880.0,413.0,Perumahan,Buruk,tinggi,214966
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,SHM,309375.0,11.0,Industri,Buruk,tinggi,101259
"Jl. Krembangan No. 8, Surabaya",Krembangan,3240815.37,SHM,39387238.19,2322.9,Industri,Buruk,rendah,109027
"Jl. Jambangan No. 6, Surabaya",Jambangan,2431212.89,HGB,91921297.71,8011.67,Industri,Buruk,rendah,50470
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,Lainnya,778800.0,110.0,Perumahan,Baik,rendah,188693
"Jl. Bubutan No. 2, Surabaya",Bubutan,4039329.34,SHM,129191010.19,6067.77,Komersial,Buruk,tinggi,90646
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,Lainnya,6037200.0,1170.0,Perumahan,Baik,tinggi,63778
"Jl. Bulak No. 3, Surabaya",Bulak,1532094.03,SHM,50790656.51,6759.9,Komersial,Buruk,rendah,43764
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,4823290.68,Lainnya,106003421.61,4573.15,Industri,Buruk,tinggi,56707
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,2908342.45,Lainnya,74252164.86,5256.18,Industri,Baik,rendah,75315
"Jl. Jambangan No. 6, Surabaya",Jambangan,2556334.59,HGB,17919648.04,1572.82,Industri,Baik,rendah,50470
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,Lainnya,1935000.0,375.0,Industri,Buruk,tinggi,59256
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,4683313.82,Lainnya,58828894.92,7386.88,Industri,Baik,tinggi,56707
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,139650000.0,15000.0,Perumahan,Baik,rendah,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,Lainnya,31093440.0,2644.0,Perumahan,Buruk,tinggi,123757
"Jl. Bulak No. 3, Surabaya",Bulak,1533008.1,HGB,61002560.92,7992.96,Industri,Baik,rendah,43764
"Jl. Pakal No. 10, Surabaya",Pakal,1051912.47,SHM,58629163.76,8507.84,Industri,Buruk,tinggi,59971
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1815111.25,SHM,35923258.37,4132.43,Industri,Buruk,rendah,75315
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1926832.93,SHM,76258319.89,8006.44,Industri,Baik,tinggi,75315
"Jl. Pabean Cantikan No. 9, Surabaya",Pabean Cantikan,3001926.77,Lainnya,137674928.17,8351.35,Industri,Baik,rendah,75315
"Jl. Raya Lakarsantri No. 10, Surabaya",Lakarsantri,1032000.0,HGB,5175480.0,1003.0,Perumahan,Buruk,tinggi,59256
"Jl. Pakal No. 10, Surabaya",Pakal,1259668.45,HGB,52193634.53,7786.12,Industri,Baik,tinggi,59971
"Jl. Petemon No. 77, Sawahan, Surabaya",Sawahan,1416000.0,Lainnya,5664000.0,800.0,Perumahan,Buruk,tinggi,188693
"Jl. Semampir No. 11, Surabaya",Semampir,1852729.21,SHM,34879287.25,3832.42,Perumahan,Baik,rendah,172669
"Jl. Tandes No. 14, Surabaya",Tandes,1960518.25,SHM,2843821.72,276.83,Komersial,Buruk,rendah,87511
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1951053.14,Lainnya,34761427.77,4034.27,Industri,Baik,tinggi,75315
"Jl. Simokerto No. 12, Surabaya",Simokerto,2642166.2,HGB,68605741.11,5651.71,Komersial,Buruk,tinggi,86897
"Jl. Raya Sememi No. 15, Benowo, Surabaya",Benowo,1032000.0,Lainnya,4179600.0,810.0,Industri,Baik,rendah,69938
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,HGB,61875000.0,2200.0,Komersial,Baik,tinggi,144650
"Jl. Pakal No. 10, Surabaya",Pakal,1181046.9,Lainnya,13328842.63,2058.79,Industri,Baik,tinggi,59971
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2871181.77,SHM,85662059.71,6311.41,Industri,Baik,rendah,75315
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,64024870.0,6877.0,Perumahan,Baik,tinggi,181325
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,7541100.0,810.0,Perumahan,Buruk,tinggi,181325
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,SHM,17640000.0,1500.0,Perumahan,Baik,rendah,123757
"Jl. Kenjeran No. 45, Kenjeran, Surabaya",Kenjeran,1862000.0,SHM,12103000.0,1300.0,Perumahan,Baik,rendah,181325
"Jl. Tambaksari No. 5, Tambaksari, Surabaya",Tambaksari,2352000.0,HGB,20039040.0,1704.0,Perumahan,Baik,rendah,214966
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1760913.95,Lainnya,44892377.49,4780.6,Industri,Buruk,rendah,75315
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,SHM,3375000.0,120.0,Komersial,Baik,tinggi,123961
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,Lainnya,70560.0,6.0,Perumahan,Baik,rendah,123757
"Jl. Asemrowo No. 1, Surabaya",Asemrowo,2511818.46,Lainnya,11199848.0,852.59,Industri,Baik,tinggi,45547
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3099935.06,HGB,20851742.47,1296.28,Perumahan,Baik,tinggi,61187
"Jl. Pakal No. 10, Surabaya",Pakal,1268790.12,SHM,25684179.16,4374.19,Industri,Buruk,rendah,59971
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2679970.31,Lainnya,110180674.31,7915.68,Perumahan,Baik,tinggi,75315
"Jl. Bubutan No. 2, Surabaya",Bubutan,4415038.59,Lainnya,130829800.95,7004.99,Industri,Baik,rendah,90646
"Jl. Tenggilis Mejoyo No. 15, Surabaya",Tenggilis Mejoyo,3249436.01,Lainnya,61025963.0,9861.86,Komersial,Baik,rendah,61187
"Jl. Kedungdoro No. 1, Surabaya",Tegalsari,6805000.0,SHM,68118050.0,2002.0,Komersial,Buruk,tinggi,92014
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1518243.96,SHM,9528880.33,1251.2,Perumahan,Buruk,rendah,86545
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,Lainnya,13806000.0,1950.0,Perumahan,Buruk,rendah,71605
"Jl. Raya Rungkut No. 88, Rungkut, Surabaya",Rungkut,2352000.0,HGB,8702400.0,740.0,Perumahan,Baik,tinggi,123757
"Jl. Tandes No. 14, Surabaya",Tandes,1930055.14,HGB,2640786.62,269.77,Komersial,Baik,tinggi,87511
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,SHM,4303440.0,834.0,Komersial,Buruk,rendah,63778
"Jl. Dukuh Pakis No. 4, Surabaya",Dukuh Pakis,5173722.78,Lainnya,48374169.96,2041.59,Komersial,Buruk,tinggi,56707
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,3909227.75,Lainnya,107140171.34,5605.78,Perumahan,Baik,rendah,110557
"Jl. Gayungan No. 5, Surabaya",Gayungan,3313425.23,HGB,71169966.66,4916.42,Komersial,Buruk,tinggi,41289
"Jl. Gayungan No. 5, Surabaya",Gayungan,3134164.21,SHM,95695422.72,6530.18,Komersial,Baik,rendah,41289
"Jl. Raya Gubeng No. 60, Surabaya",Gubeng,5625000.0,Lainnya,3740625.0,133.0,Komersial,Buruk,tinggi,123961
"Jl. Jambangan No. 6, Surabaya",Jambangan,2468650.9,SHM,95794196.0,8198.81,Komersial,Buruk,rendah,50470
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,4248568.01,HGB,65097394.21,9666.09,Perumahan,Buruk,rendah,110557
"Jl. Jambangan No. 6, Surabaya",Jambangan,2577934.29,HGB,59762183.12,4511.55,Komersial,Buruk,rendah,50470
"Jl. Krembangan No. 8, Surabaya",Krembangan,3752979.64,SHM,148583142.52,8394.91,Industri,Baik,rendah,109027
"Jl. HR Muhammad No. 80, Sukomanunggal, Surabaya",Sukomanunggal,5625000.0,HGB,39178125.0,1393.0,Industri,Baik,rendah,101259
"Jl. Wonocolo No. 16, Surabaya",Wonocolo,2962629.46,HGB,138393476.37,10218.98,Perumahan,Buruk,rendah,75315
"Jl. Karang Pilang No. 7, Surabaya",Karang Pilang,1897150.0,Lainnya,25013459.28,2657.48,Industri,Buruk,rendah,75315
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1460844.22,HGB,23944765.03,3737.32,Komersial,Buruk,tinggi,86545
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,HGB,2322000.0,450.0,Industri,Buruk,rendah,63778
"Jl. Wonokromo No. 22, Wonokromo, Surabaya",Wonokromo,5625000.0,SHM,14259375.0,507.0,Komersial,Baik,rendah,144650
"Jl. Gayungan No. 5, Surabaya",Gayungan,3203326.04,HGB,81104558.34,5015.43,Komersial,Buruk,tinggi,41289
"Jl. Gunung Anyar Jaya No. 12, Gunung Anyar, Surabaya",Gunung Anyar,1862000.0,HGB,1396500.0,150.0,Perumahan,Baik,tinggi,62482
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1527868.47,SHM,2216510.63,326.35,Perumahan,Baik,tinggi,86545
"Jl. Krembangan No. 8, Surabaya",Krembangan,3583150.41,SHM,72964050.38,3628.44,Industri,Baik,tinggi,109027
"Jl. Wiyung Kencana No. 21, Wiyung, Surabaya",Wiyung,1416000.0,HGB,8602200.0,1215.0,Industri,Buruk,rendah,71605
"Jl. Bulak No. 3, Surabaya",Bulak,1549519.43,HGB,28565579.9,3896.7,Industri,Baik,tinggi,43764
"Jl. Sukolilo No. 13, Surabaya",Sukolilo,4041963.12,HGB,62913227.81,9294.42,Perumahan,Buruk,rendah,110557
"Jl. Mulyorejo Indah No. 33, Mulyorejo, Surabaya",Mulyorejo,1372263.65,SHM,33780988.55,5233.01,Perumahan,Buruk,rendah,86545
"Jl. Raya Lontar No. 88, Sambikerep, Surabaya",Sambikerep,1032000.0,SHM,12198240.0,2364.0,Perumahan,Baik,rendah,63778
