Kecamatan,Luas Tanah (m²),Luas Bangunan (m²),Jumlah Lantai,Kondisi Properti,Kondisi Perabotan,Sertifikat,Daya Listrik (watt),Hook,NJOP (Rp/m²),Jenis Zona,Aksesibilitas,Tingkat Keamanan,Usia Bangunan (tahun),Nilai Jual Bangunan (Rp)
Asemrowo,542,231,2,Butuh Renovasi,Unfurnished,SHM,4400,Tidak,155054,Perumahan,Dekat Pusat Kota,5,15,35817474
Asemrowo,103,45,1,Baru,Unfurnished,AJB,900,Tidak,168500,Campuran,Dekat Pusat Kota,2,6,7582500
Asemrowo,180,55,3,Baru,Furnished,AJB,1300,Tidak,170952,Campuran,Dekat Sekolah,5,16,9402360
Asemrowo,137,33,1,Baru,Semi-Furnished,SHM,1300,Tidak,167878,Campuran,Dekat Sekolah,3,22,5539974
Asemrowo,162,65,1,Bagus,Furnished,AJB,1300,Tidak,167472,Perumahan,Dekat Sekolah,3,25,10885680
Benowo,416,412,1,Baru,Furnished,HGB,5500,Ya,165725,Campuran,Dekat Jalan Raya,5,20,68278700
Benowo,522,621,3,Bagus,Semi-Furnished,SHM,6600,Tidak,192041,Campuran,Dekat Sekolah,5,21,119257461
Benowo,332,185,2,Butuh Renovasi,Unfurnished,HGB,1300,Ya,163001,Perumahan,Dekat Sekolah,5,25,30155185
Benowo,271,260,1,Baru,Semi-Furnished,SHM,4400,Ya,145754,Campuran,Dekat Jalan Raya,5,6,37896040
Benowo,152,115,1,Bagus,Furnished,HGB,2200,Ya,143377,Komersial,Dekat Sekolah,2,13,16488355
Benowo,483,455,1,Baru,Unfurnished,SHM,4400,Ya,160886,Perumahan,Dekat Jalan Raya,5,14,73203130
Benowo,199,104,2,Bagus,Semi-Furnished,SHM,2200,Tidak,147067,Campuran,Dekat Jalan Raya,2,20,15294968
Benowo,205,186,1,Baru,Semi-Furnished,HGB,1300,Tidak,152063,Campuran,Dekat Pusat Kota,5,6,28283718
Benowo,169,195,3,Baru,Furnished,SHM,2200,Tidak,173909,Komersial,Dekat Pusat Kota,4,8,33912255
Benowo,589,276,1,Baru,Semi-Furnished,SHM,4400,Ya,175682,Komersial,Dekat Jalan Raya,5,18,48488232
Benowo,185,57,1,Baru,Semi-Furnished,HGB,1300,Ya,150971,Campuran,Dekat Pusat Kota,2,15,8605347
Benowo,313,368,3,Bagus,Semi-Furnished,AJB,4400,Tidak,175275,Komersial,Dekat Sekolah,4,7,64501200
Benowo,580,149,3,Bagus,Semi-Furnished,SHM,2200,Ya,155774,Perumahan,Dekat Sekolah,5,17,23210326
Benowo,183,217,2,Butuh Renovasi,Unfurnished,AJB,2200,Ya,146673,Komersial,Dekat Sekolah,4,26,31828041
Benowo,265,278,1,Baru,Semi-Furnished,AJB,4400,Tidak,168874,Campuran,Dekat Sekolah,5,22,46946972
Benowo,294,322,3,Baru,Furnished,HGB,4400,Tidak,148586,Komersial,Dekat Sekolah,5,28,47844692
Benowo,482,479,1,Baru,Furnished,HGB,4400,Tidak,157699,Komersial,Dekat Pusat Kota,5,17,75537821
Benowo,324,175,1,Butuh Renovasi,Unfurnished,HGB,1300,Tidak,171664,Campuran,Dekat Pusat Kota,4,30,30041200
Benowo,227,318,3,Bagus,Unfurnished,SHM,4400,Tidak,154749,Campuran,Dekat Sekolah,5,29,49210182
Benowo,286,213,1,Baru,Furnished,HGB,3500,Tidak,164691,Perumahan,Dekat Pusat Kota,5,19,35079183
Benowo,412,94,3,Butuh Renovasi,Furnished,HGB,900,Tidak,146852,Perumahan,Dekat Jalan Raya,3,6,13804088
Benowo,205,45,2,Butuh Renovasi,Furnished,AJB,900,Tidak,164199,Campuran,Dekat Pusat Kota,1,2,7388955
Benowo,101,34,2,Butuh Renovasi,Unfurnished,SHM,1300,Ya,157602,Campuran,Dekat Jalan Raya,3,17,5358468
Benowo,207,269,3,Butuh Renovasi,Unfurnished,AJB,4400,Ya,171178,Komersial,Dekat Sekolah,5,26,46046882
Benowo,239,55,3,Butuh Renovasi,Unfurnished,SHM,1300,Tidak,157628,Campuran,Dekat Pusat Kota,2,9,8669540
Benowo,248,141,1,Butuh Renovasi,Semi-Furnished,AJB,1300,Ya,161457,Campuran,Dekat Sekolah,4,6,22765437
Benowo,55,34,1,Baru,Furnished,HGB,900,Ya,151094,Perumahan,Dekat Jalan Raya,2,16,5137196
Benowo,238,332,2,Baru,Unfurnished,AJB,2200,Tidak,171939,Perumahan,Dekat Jalan Raya,5,13,57083748
Benowo,177,186,1,Butuh Renovasi,Furnished,AJB,2200,Ya,154140,Komersial,Dekat Jalan Raya,5,30,28670040
Benowo,170,219,3,Bagus,Unfurnished,HGB,4400,Tidak,162038,Komersial,Dekat Sekolah,5,23,35486322
Benowo,464,338,2,Butuh Renovasi,Semi-Furnished,SHM,3500,Tidak,156750,Campuran,Dekat Jalan Raya,5,2,52981500
Benowo,109,174,2,Baru,Unfurnished,SHM,1300,Tidak,170648,Komersial,Dekat Jalan Raya,5,11,29692752
Benowo,281,70,1,Butuh Renovasi,Furnished,SHM,1300,Tidak,155505,Campuran,Dekat Jalan Raya,3,27,10885350
Bubutan,577,57,2,Butuh Renovasi,Unfurnished,AJB,1300,Ya,244064,Campuran,Dekat Sekolah,2,12,13911648
Bubutan,134,84,1,Bagus,Furnished,HGB,1300,Tidak,230158,Campuran,Dekat Pusat Kota,5,1,19333272
Bubutan,489,231,2,Baru,Semi-Furnished,HGB,2200,Tidak,276315,Perumahan,Dekat Jalan Raya,5,2,63828765
Bubutan,458,389,3,Bagus,Furnished,SHM,4400,Ya,270836,Perumahan,Dekat Sekolah,5,4,105355204
Bubutan,478,442,3,Baru,Furnished,SHM,4400,Tidak,260649,Komersial,Dekat Sekolah,4,10,115206858
Bubutan,55,73,1,Baru,Furnished,SHM,1300,Ya,244533,Campuran,Dekat Jalan Raya,4,7,17850909
Bubutan,232,249,1,Butuh Renovasi,Furnished,SHM,3500,Tidak,268040,Komersial,Dekat Jalan Raya,4,25,66741960
Bubutan,566,149,3,Butuh Renovasi,Furnished,AJB,2200,Tidak,275302,Komersial,Dekat Jalan Raya,4,22,41019998
Bubutan,514,536,2,Bagus,Unfurnished,HGB,4400,Tidak,268704,Perumahan,Dekat Jalan Raya,4,22,144025344
Bubutan,351,145,3,Bagus,Furnished,AJB,2200,Tidak,253085,Komersial,Dekat Sekolah,5,11,36697325
Bubutan,490,131,1,Baru,Furnished,HGB,1300,Tidak,267743,Komersial,Dekat Sekolah,4,6,35074333
Bubutan,237,56,1,Butuh Renovasi,Furnished,SHM,1300,Tidak,250274,Perumahan,Dekat Jalan Raya,3,14,14015344
Bubutan,216,253,1,Baru,Semi-Furnished,SHM,4400,Tidak,273491,Komersial,Dekat Jalan Raya,5,23,69193223
Bubutan,286,232,3,Bagus,Semi-Furnished,AJB,4400,Tidak,235858,Campuran,Dekat Pusat Kota,5,16,54719056
Bubutan,322,355,2,Baru,Furnished,HGB,3500,Tidak,247238,Perumahan,Dekat Sekolah,4,3,87769490
Bubutan,575,182,1,Butuh Renovasi,Semi-Furnished,AJB,2200,Tidak,229337,Campuran,Dekat Pusat Kota,4,28,41739334
Bubutan,302,47,2,Baru,Semi-Furnished,HGB,900,Tidak,245189,Perumahan,Dekat Pusat Kota,3,21,11523883
Bubutan,517,46,2,Baru,Semi-Furnished,SHM,900,Ya,229483,Campuran,Dekat Jalan Raya,4,24,10556218
Bubutan,379,185,1,Baru,Unfurnished,SHM,2200,Ya,237836,Perumahan,Dekat Pusat Kota,5,12,43999660
Bubutan,366,222,1,Butuh Renovasi,Unfurnished,AJB,2200,Tidak,267559,Perumahan,Dekat Pusat Kota,5,17,59398098
Bubutan,96,44,1,Baru,Unfurnished,SHM,1300,Ya,220848,Campuran,Dekat Jalan Raya,2,0,9717312
Bubutan,277,168,2,Baru,Unfurnished,HGB,1300,Ya,230842,Campuran,Dekat Pusat Kota,4,15,38781456
Bubutan,573,586,1,Butuh Renovasi,Semi-Furnished,SHM,4400,Tidak,278146,Perumahan,Dekat Sekolah,4,12,162993556
Bubutan,482,300,3,Baru,Furnished,AJB,3500,Ya,258583,Perumahan,Dekat Jalan Raya,4,9,77574900
Bubutan,568,186,2,Baru,Semi-Furnished,AJB,1300,Tidak,275417,Komersial,Dekat Pusat Kota,5,11,51227562
Bubutan,155,193,3,Baru,Unfurnished,HGB,2200,Tidak,256656,Komersial,Dekat Sekolah,5,29,49534608
Bubutan,130,225,3,Butuh Renovasi,Semi-Furnished,SHM,4400,Ya,259583,Komersial,Dekat Pusat Kota,5,1,58406175
Bubutan,232,97,3,Bagus,Semi-Furnished,HGB,900,Ya,228019,Perumahan,Dekat Pusat Kota,4,22,22117843
Bubutan,189,84,3,Bagus,Semi-Furnished,AJB,900,Ya,269644,Campuran,Dekat Sekolah,5,2,22650096
Bubutan,251,260,3,Bagus,Unfurnished,SHM,4400,Ya,258286,Komersial,Dekat Jalan Raya,5,9,67154360
Bubutan,546,315,2,Butuh Renovasi,Semi-Furnished,AJB,3500,Tidak,270548,Komersial,Dekat Pusat Kota,5,1,85222620
Bubutan,224,45,3,Baru,Unfurnished,HGB,900,Tidak,221119,Komersial,Dekat Sekolah,3,29,9950355
Bubutan,219,163,2,Bagus,Furnished,SHM,2200,Tidak,251788,Perumahan,Dekat Pusat Kota,5,26,41041444
Bulak,482,377,3,Baru,Semi-Furnished,AJB,4400,Ya,183150,Campuran,Dekat Jalan Raya,5,22,69047550
Bulak,515,417,1,Baru,Furnished,AJB,5500,Ya,208042,Komersial,Dekat Pusat Kota,5,12,86753514
Bulak,171,61,2,Baru,Furnished,AJB,900,Tidak,194702,Komersial,Dekat Pusat Kota,5,12,11876822
Bulak,105,180,1,Butuh Renovasi,Semi-Furnished,SHM,2200,Tidak,207219,Komersial,Dekat Sekolah,4,17,37299420
Bulak,275,252,3,Baru,Furnished,HGB,3500,Tidak,182556,Perumahan,Dekat Jalan Raya,4,2,46004112
Bulak,54,106,1,Butuh Renovasi,Furnished,HGB,1300,Ya,192521,Campuran,Dekat Pusat Kota,4,26,20407226
Bulak,111,55,3,Baru,Furnished,SHM,1300,Ya,189615,Perumahan,Dekat Jalan Raya,5,6,10428825
Bulak,259,186,3,Bagus,Semi-Furnished,AJB,1300,Ya,175530,Perumahan,Dekat Sekolah,5,13,32648580
Bulak,300,230,2,Butuh Renovasi,Unfurnished,HGB,2200,Tidak,174686,Perumahan,Dekat Jalan Raya,5,19,40177780
Bulak,392,94,1,Bagus,Furnished,SHM,900,Tidak,173136,Komersial,Dekat Jalan Raya,4,28,16274784
Bulak,324,156,1,Baru,Furnished,AJB,2200,Ya,197153,Campuran,Dekat Sekolah,5,29,30755868
Bulak,52,87,2,Bagus,Unfurnished,SHM,1300,Tidak,178817,Perumahan,Dekat Jalan Raya,5,16,15557079
Bulak,61,64,2,Butuh Renovasi,Unfurnished,AJB,900,Tidak,190054,Perumahan,Dekat Pusat Kota,3,28,12163456
Bulak,301,157,1,Bagus,Furnished,SHM,2200,Tidak,203652,Perumahan,Dekat Pusat Kota,5,29,31973364
Bulak,481,299,2,Butuh Renovasi,Unfurnished,AJB,4400,Ya,188207,Komersial,Dekat Sekolah,5,20,56273893
Bulak,453,152,3,Butuh Renovasi,Furnished,HGB,2200,Ya,203467,Campuran,Dekat Jalan Raya,4,11,30926984
Bulak,427,503,3,Bagus,Semi-Furnished,HGB,6600,Tidak,214486,Komersial,Dekat Sekolah,5,24,107886458
Bulak,95,162,2,Baru,Unfurnished,SHM,2200,Tidak,173334,Komersial,Dekat Jalan Raya,5,15,28080108
Bulak,442,80,3,Baru,Furnished,SHM,900,Ya,193623,Campuran,Dekat Jalan Raya,5,23,15489840
Bulak,40,122,1,Bagus,Unfurnished,AJB,2200,Ya,202669,Komersial,Dekat Sekolah,3,11,24725618
Bulak,325,310,2,Baru,Furnished,SHM,4400,Tidak,194439,Komersial,Dekat Pusat Kota,5,14,60276090
Bulak,542,300,2,Butuh Renovasi,Semi-Furnished,SHM,2200,Tidak,214589,Campuran,Dekat Sekolah,5,24,64376700
Bulak,161,84,2,Butuh Renovasi,Unfurnished,SHM,900,Tidak,169814,Perumahan,Dekat Sekolah,3,9,14264376
Bulak,48,30,1,Bagus,Unfurnished,SHM,900,Tidak,177865,Komersial,Dekat Pusat Kota,2,29,5335950
Bulak,98,197,1,Baru,Semi-Furnished,AJB,1300,Ya,174808,Komersial,Dekat Sekolah,5,24,34437176
Bulak,143,121,2,Baru,Semi-Furnished,HGB,1300,Ya,200724,Perumahan,Dekat Pusat Kota,5,30,24287604
Bulak,298,199,1,Baru,Semi-Furnished,SHM,2200,Ya,200412,Campuran,Dekat Jalan Raya,5,6,39881988
Bulak,145,182,1,Butuh Renovasi,Furnished,AJB,1300,Ya,185195,Komersial,Dekat Pusat Kota,5,19,33705490
Bulak,98,179,1,Bagus,Unfurnished,SHM,1300,Ya,174917,Perumahan,Dekat Sekolah,4,4,31310143
Bulak,208,288,2,Bagus,Semi-Furnished,SHM,2200,Ya,198347,Perumahan,Dekat Pusat Kota,5,0,57123936
Bulak,159,173,1,Butuh Renovasi,Unfurnished,AJB,2200,Ya,196197,Komersial,Dekat Pusat Kota,5,29,33942081
Bulak,520,456,1,Baru,Furnished,HGB,4400,Tidak,195854,Komersial,Dekat Sekolah,4,16,89309424
Bulak,444,342,3,Bagus,Unfurnished,SHM,2200,Tidak,179103,Komersial,Dekat Pusat Kota,4,2,61253226
Dukuh Pakis,380,232,1,Bagus,Unfurnished,HGB,4400,Tidak,236615,Perumahan,Dekat Sekolah,5,12,54894680
Dukuh Pakis,75,59,3,Baru,Furnished,SHM,900,Ya,232644,Campuran,Dekat Sekolah,5,13,13725996
Dukuh Pakis,183,196,3,Butuh Renovasi,Semi-Furnished,AJB,1300,Tidak,242055,Perumahan,Dekat Sekolah,5,23,47442780
Dukuh Pakis,252,214,2,Bagus,Furnished,HGB,4400,Tidak,228701,Campuran,Dekat Sekolah,4,29,48942014
Dukuh Pakis,587,117,2,Baru,Semi-Furnished,AJB,2200,Ya,248235,Campuran,Dekat Pusat Kota,5,17,29043495
Dukuh Pakis,70,47,1,Butuh Renovasi,Unfurnished,HGB,1300,Tidak,215769,Komersial,Dekat Jalan Raya,2,3,10141143
Dukuh Pakis,380,267,2,Butuh Renovasi,Unfurnished,AJB,3500,Ya,230652,Komersial,Dekat Pusat Kota,4,17,61584084
Dukuh Pakis,493,335,2,Bagus,Semi-Furnished,AJB,4400,Tidak,230486,Campuran,Dekat Jalan Raya,5,29,77212810
Dukuh Pakis,76,139,1,Bagus,Unfurnished,AJB,2200,Tidak,220443,Campuran,Dekat Jalan Raya,5,4,30641577
Dukuh Pakis,436,190,1,Baru,Furnished,AJB,1300,Ya,215480,Komersial,Dekat Pusat Kota,5,24,40941200
Dukuh Pakis,53,83,2,Bagus,Unfurnished,HGB,900,Tidak,235656,Perumahan,Dekat Pusat Kota,5,15,19559448
Dukuh Pakis,284,45,1,Baru,Semi-Furnished,HGB,900,Tidak,239766,Campuran,Dekat Jalan Raya,1,0,10789470
Dukuh Pakis,135,141,2,Baru,Semi-Furnished,HGB,1300,Ya,223640,Komersial,Dekat Jalan Raya,5,20,31533240
Dukuh Pakis,296,335,1,Butuh Renovasi,Unfurnished,SHM,3500,Tidak,236141,Komersial,Dekat Jalan Raya,5,13,79107235
Dukuh Pakis,189,246,1,Bagus,Semi-Furnished,AJB,2200,Tidak,252400,Komersial,Dekat Sekolah,4,14,62090400
Dukuh Pakis,131,193,2,Baru,Unfurnished,AJB,1300,Ya,215694,Campuran,Dekat Jalan Raya,4,8,41628942
Dukuh Pakis,252,315,3,Bagus,Unfurnished,AJB,4400,Tidak,255858,Campuran,Dekat Jalan Raya,5,14,80595270
Dukuh Pakis,168,88,2,Bagus,Unfurnished,HGB,900,Tidak,229653,Komersial,Dekat Pusat Kota,5,16,20209464
Dukuh Pakis,133,139,2,Butuh Renovasi,Furnished,AJB,2200,Tidak,217593,Campuran,Dekat Sekolah,4,24,30245427
Dukuh Pakis,135,98,2,Butuh Renovasi,Furnished,HGB,1300,Tidak,216264,Komersial,Dekat Pusat Kota,4,23,21193872
Dukuh Pakis,258,352,2,Baru,Unfurnished,HGB,4400,Ya,248978,Perumahan,Dekat Sekolah,4,3,87640256
Dukuh Pakis,518,371,2,Butuh Renovasi,Unfurnished,AJB,3500,Tidak,245478,Komersial,Dekat Jalan Raya,5,11,91072338
Dukuh Pakis,223,103,1,Baru,Unfurnished,AJB,2200,Tidak,241149,Perumahan,Dekat Jalan Raya,4,26,24838347
Dukuh Pakis,45,47,3,Bagus,Furnished,HGB,1300,Tidak,218795,Perumahan,Dekat Sekolah,3,25,10283365
Dukuh Pakis,256,321,2,Baru,Furnished,HGB,3500,Tidak,254917,Perumahan,Dekat Sekolah,5,4,81828357
Dukuh Pakis,196,257,3,Bagus,Furnished,AJB,3500,Tidak,219728,Campuran,Dekat Sekolah,5,28,56470096
Dukuh Pakis,488,305,2,Butuh Renovasi,Semi-Furnished,HGB,4400,Ya,234954,Campuran,Dekat Pusat Kota,4,4,71660970
Dukuh Pakis,397,298,3,Butuh Renovasi,Furnished,HGB,2200,Tidak,241942,Perumahan,Dekat Jalan Raya,5,10,72098716
Dukuh Pakis,584,321,3,Butuh Renovasi,Furnished,HGB,4400,Tidak,247075,Campuran,Dekat Jalan Raya,5,27,79311075
Dukuh Pakis,335,120,1,Butuh Renovasi,Unfurnished,HGB,1300,Tidak,226066,Perumahan,Dekat Sekolah,3,5,27127920
Dukuh Pakis,376,216,2,Bagus,Unfurnished,HGB,3500,Ya,232341,Komersial,Dekat Jalan Raya,5,6,50185656
Dukuh Pakis,54,58,3,Butuh Renovasi,Semi-Furnished,HGB,900,Tidak,210807,Campuran,Dekat Pusat Kota,2,23,12226806
Dukuh Pakis,85,38,1,Baru,Semi-Furnished,AJB,900,Ya,205992,Komersial,Dekat Pusat Kota,2,30,7827696
Gayungan,227,152,1,Baru,Semi-Furnished,HGB,2200,Ya,217387,Campuran,Dekat Sekolah,4,13,33042824
Gayungan,225,244,3,Butuh Renovasi,Furnished,HGB,4400,Tidak,231673,Campuran,Dekat Jalan Raya,5,23,56528212
Gayungan,301,307,3,Bagus,Unfurnished,AJB,4400,Ya,222872,Perumahan,Dekat Pusat Kota,4,10,68421704
Gayungan,548,484,2,Baru,Unfurnished,AJB,4400,Ya,218897,Komersial,Dekat Jalan Raya,4,29,105946148
Gayungan,356,363,2,Baru,Semi-Furnished,AJB,3500,Tidak,223306,Komersial,Dekat Jalan Raya,5,12,81060078
Gayungan,158,103,2,Bagus,Unfurnished,AJB,1300,Ya,199173,Campuran,Dekat Sekolah,2,1,20514819
Gayungan,93,82,3,Butuh Renovasi,Furnished,SHM,900,Tidak,210161,Perumahan,Dekat Sekolah,5,24,17233202
Gayungan,309,308,3,Baru,Unfurnished,HGB,2200,Ya,213117,Campuran,Dekat Sekolah,4,6,65640036
Gayungan,179,59,3,Baru,Unfurnished,HGB,900,Ya,213646,Komersial,Dekat Pusat Kota,5,19,12605114
Gayungan,147,225,2,Bagus,Unfurnished,SHM,3500,Ya,231606,Campuran,Dekat Pusat Kota,5,3,52111350
Gayungan,254,115,2,Baru,Semi-Furnished,AJB,1300,Tidak,205349,Campuran,Dekat Pusat Kota,4,26,23615135
Gayungan,371,222,1,Baru,Semi-Furnished,SHM,4400,Tidak,197667,Komersial,Dekat Jalan Raya,5,7,43882074
Gayungan,344,67,2,Butuh Renovasi,Furnished,HGB,900,Tidak,205330,Komersial,Dekat Sekolah,5,19,13757110
Gayungan,568,124,2,Butuh Renovasi,Semi-Furnished,AJB,2200,Tidak,203173,Campuran,Dekat Jalan Raya,4,28,25193452
Gayungan,527,487,1,Bagus,Semi-Furnished,HGB,4400,Tidak,207218,Komersial,Dekat Sekolah,5,30,100915166
Gayungan,229,286,2,Butuh Renovasi,Semi-Furnished,SHM,2200,Tidak,218694,Komersial,Dekat Sekolah,5,21,62546484
Gayungan,403,62,2,Baru,Semi-Furnished,HGB,900,Ya,211017,Campuran,Dekat Sekolah,3,20,13083054
Gayungan,218,179,1,Baru,Furnished,AJB,2200,Ya,214288,Campuran,Dekat Pusat Kota,5,18,38357552
Gayungan,333,129,3,Butuh Renovasi,Furnished,HGB,1300,Ya,204900,Perumahan,Dekat Jalan Raya,5,12,26432100
Gayungan,397,210,3,Bagus,Unfurnished,HGB,3500,Tidak,229593,Perumahan,Dekat Jalan Raya,4,13,48214530
Gayungan,114,84,3,Bagus,Unfurnished,AJB,900,Tidak,198082,Campuran,Dekat Jalan Raya,4,9,16638888
Gayungan,383,47,1,Baru,Unfurnished,AJB,900,Ya,188738,Campuran,Dekat Pusat Kota,3,10,8870686
Gayungan,301,154,3,Baru,Furnished,AJB,2200,Ya,191993,Komersial,Dekat Jalan Raya,4,1,29566922
Gayungan,91,96,1,Butuh Renovasi,Semi-Furnished,AJB,900,Ya,188485,Komersial,Dekat Pusat Kota,4,24,18094560
Gayungan,50,78,3,Baru,Semi-Furnished,HGB,1300,Tidak,225035,Perumahan,Dekat Pusat Kota,5,25,17552730
Gayungan,178,229,3,Bagus,Furnished,AJB,3500,Tidak,229364,Perumahan,Dekat Pusat Kota,5,8,52524356
Gayungan,176,268,2,Bagus,Furnished,AJB,3500,Ya,225712,Campuran,Dekat Sekolah,5,16,60490816
Gayungan,483,315,3,Bagus,Furnished,HGB,4400,Ya,222035,Komersial,Dekat Pusat Kota,5,25,69941025
Gayungan,490,364,3,Baru,Unfurnished,AJB,4400,Ya,242603,Campuran,Dekat Jalan Raya,4,2,88307492
Gayungan,74,163,2,Butuh Renovasi,Furnished,SHM,1300,Ya,211031,Campuran,Dekat Pusat Kota,5,23,34398053
Gayungan,264,296,2,Baru,Furnished,AJB,4400,Tidak,221298,Campuran,Dekat Pusat Kota,5,5,65504208
Gayungan,473,77,3,Baru,Semi-Furnished,HGB,1300,Ya,208462,Komersial,Dekat Jalan Raya,5,4,16051574
Gayungan,217,236,2,Bagus,Furnished,HGB,3500,Tidak,195458,Perumahan,Dekat Sekolah,5,4,46128088
Genteng,479,194,3,Bagus,Unfurnished,AJB,1300,Ya,301881,Campuran,Dekat Pusat Kota,4,21,58564914
Genteng,548,347,1,Bagus,Semi-Furnished,SHM,3500,Ya,329452,Komersial,Dekat Sekolah,5,14,114319844
Genteng,115,170,1,Baru,Furnished,HGB,2200,Ya,342386,Perumahan,Dekat Pusat Kota,5,22,58205620
Genteng,42,47,1,Bagus,Semi-Furnished,SHM,900,Ya,330572,Perumahan,Dekat Jalan Raya,4,16,15536884
Genteng,432,148,2,Baru,Unfurnished,AJB,2200,Ya,286154,Komersial,Dekat Pusat Kota,5,8,42350792
Genteng,214,98,3,Butuh Renovasi,Unfurnished,AJB,900,Ya,326207,Perumahan,Dekat Jalan Raya,5,2,31968286
Genteng,388,33,1,Butuh Renovasi,Semi-Furnished,AJB,900,Tidak,282589,Campuran,Dekat Pusat Kota,2,19,9325437
Genteng,259,192,3,Butuh Renovasi,Furnished,AJB,2200,Tidak,325767,Campuran,Dekat Jalan Raya,5,25,62547264
Genteng,303,298,2,Butuh Renovasi,Unfurnished,HGB,4400,Tidak,319789,Campuran,Dekat Pusat Kota,5,16,95297122
Genteng,201,141,2,Butuh Renovasi,Semi-Furnished,HGB,1300,Tidak,320451,Komersial,Dekat Pusat Kota,5,28,45183591
Genteng,45,76,1,Butuh Renovasi,Furnished,HGB,900,Tidak,290406,Perumahan,Dekat Jalan Raya,5,26,22070856
Genteng,190,152,1,Butuh Renovasi,Semi-Furnished,HGB,2200,Tidak,286491,Campuran,Dekat Jalan Raya,5,9,43546632
Genteng,276,35,1,Butuh Renovasi,Unfurnished,AJB,900,Tidak,329817,Komersial,Dekat Sekolah,3,2,11543595
